# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
0,1194.455200,1197.173462,1194.267090
1,1189.044434,1190.402100,1188.219849
2,1196.016724,1194.381348,1192.484497
3,1194.053955,1195.045776,1193.333496
4,1198.217407,1202.451172,1199.443726
5,1186.289185,1187.466919,1185.560547
6,1183.631104,1185.425659,1183.357788
7,1192.128906,1195.786255,1193.972412
8,1196.194824,1200.509277,1197.477905
9,1190.318970,1194.322021,1189.655396
10,1194.745483,1199.261108,1196.075684
11,1197.342285,1202.007935,1198.036133
12,1190.500732,1186.769897,1186.649536
13,1195.074341,1194.276489,1193.876831
14,1194.888916,1190.320435,1188.880615
15,1192.000732,1188.745850,1186.837280
16,1188.947876,1182.961792,1182.008179
17,1200.468994,1195.196045,1194.145508
18,1204.058228,1201.271729,1199.029663
19,1205.553223,1202.034790,1198.033203
20,1201.233032,1194.897583,1193.368774
21,1198.393677,1193.785278,1193.382446
22,1201.544800,1194.886353,1195.107300
23,1199.966187,1192.541138,1192.005981
24,1199.263306,1192.846558,1193.291504
25,1194.604858,1188.224121,1188.280762
26,1188.757446,1184.150024,1183.726685
27,1201.325562,1199.894775,1196.065796
28,1214.615479,1217.714111,1215.564941
29,1209.301147,1208.716919,1205.120117
30,1201.402100,1207.336670,1201.058472
31,1212.556396,1218.678711,1212.141235
32,1206.808105,1210.000000,1206.145508
33,1200.657349,1205.396240,1203.047607
34,1198.260010,1201.424805,1201.936646
35,1192.497437,1190.985229,1190.468506
36,1192.182495,1193.438843,1191.915039
37,1191.733032,1190.565918,1193.227905
38,1195.095093,1192.460938,1196.904907
39,1202.459229,1200.331909,1201.623779
40,1199.534912,1198.245239,1199.056519
41,1193.738525,1195.502686,1194.919922
42,1184.320068,1182.998413,1186.167114
43,1199.669312,1195.729126,1197.547852
44,1182.475586,1179.610596,1181.139648
45,1165.810669,1162.877686,1166.952881
46,1174.624878,1171.123413,1172.661865
47,1173.325562,1170.277588,1171.896484
48,1165.588867,1158.247559,1161.725586
49,1162.385986,1154.032471,1158.609131
50,1162.205078,1158.094727,1160.787842
51,1156.224365,1149.114014,1151.303101
52,1158.850708,1152.221680,1152.732910
53,1162.144897,1152.752686,1154.140625
54,1167.193726,1156.085327,1158.265503
55,1173.942505,1164.194946,1168.036865
56,1179.745117,1171.194580,1173.108276
57,1186.652222,1174.860962,1176.492554
58,1192.989380,1194.714111,1192.954224
59,1192.538940,1190.497559,1191.264160
60,1189.577881,1189.170288,1187.046387
61,1183.247681,1181.706909,1182.061157
62,1182.283325,1177.976196,1180.057983
63,1189.858643,1188.857422,1186.688599
64,1189.517090,1187.270508,1187.094604
65,1178.602295,1176.666260,1178.710938
66,1179.596191,1176.971924,1179.036499
67,1189.659912,1186.015381,1187.109009
68,1184.215942,1184.512207,1184.153076
69,1182.383789,1183.231567,1185.008789
70,1184.627441,1187.261597,1186.557373
71,1180.337891,1182.957764,1183.483032
72,1179.013794,1179.540771,1181.374634
73,1185.302246,1183.257324,1187.668579
74,1190.995972,1187.463623,1191.704712
75,1184.231567,1181.183594,1184.993652
76,1182.095093,1181.874390,1183.138672
77,1196.023682,1196.915771,1196.916016
78,1206.964722,1208.935791,1206.936035
79,1202.776367,1208.365723,1205.584595
