# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
0,1219.393555,1217.329468,1219.534668
1,1212.164795,1209.085327,1211.552368
2,1205.282227,1200.018066,1203.458008
3,1193.568237,1189.502075,1193.418579
4,1191.939941,1183.674805,1188.377930
5,1187.014526,1177.466064,1183.474854
6,1183.098633,1174.185913,1180.239624
7,1176.733032,1163.366699,1169.136108
8,1180.492188,1164.936890,1170.103271
9,1186.663208,1175.634399,1181.227905
10,1191.963623,1180.592773,1188.342163
11,1197.525269,1185.650879,1194.552490
12,1200.535156,1195.018066,1201.022583
13,1204.836670,1200.277466,1201.355347
14,1207.089478,1209.099854,1208.678223
15,1209.981812,1207.005859,1209.236206
16,1202.399414,1201.125366,1204.420776
17,1192.886108,1192.718262,1195.549316
18,1187.941406,1195.493652,1195.535034
19,1194.858887,1201.815430,1200.970947
20,1202.683472,1213.787354,1213.172852
21,1198.480591,1204.342529,1206.080566
22,1185.948364,1191.919434,1192.612549
23,1184.977783,1185.124146,1188.916138
24,1187.632568,1185.224243,1188.933838
25,1187.998535,1186.355469,1189.220337
26,1183.618042,1183.431030,1184.211792
27,1191.811890,1193.050903,1192.800171
28,1188.760620,1185.598755,1189.671631
29,1190.640259,1188.391602,1192.658936
30,1197.216431,1195.200684,1198.107666
31,1200.558716,1202.580566,1204.106567
32,1198.008423,1200.960205,1202.765503
33,1195.987305,1200.894287,1200.669800
34,1196.532959,1200.223877,1201.663086
35,1193.818115,1195.513062,1197.126465
36,1188.979248,1190.832153,1191.871704
37,1180.065063,1181.693359,1180.130127
38,1172.729004,1169.367310,1171.383057
39,1175.121460,1169.959595,1173.202026
40,1178.369263,1176.722778,1178.101685
41,1177.316528,1179.280273,1178.240356
42,1172.090576,1169.200562,1170.084595
43,1173.795166,1170.968140,1173.235962
44,1172.771606,1170.183472,1172.037842
45,1175.868652,1171.790039,1173.298950
46,1174.836304,1169.519775,1171.712158
47,1173.365967,1165.189941,1170.121338
48,1175.033447,1166.532349,1172.109375
49,1181.337891,1174.580200,1176.995361
50,1186.563477,1183.608765,1185.115112
51,1185.007324,1185.307739,1184.636597
52,1174.117554,1173.914917,1174.187500
53,1166.882446,1164.085815,1166.539062
54,1167.415405,1165.103516,1166.477295
55,1172.223389,1168.616455,1171.456055
56,1174.044800,1170.238281,1172.540771
57,1168.263672,1166.383545,1166.965698
58,1162.390015,1160.026489,1161.700195
59,1166.713745,1162.556641,1167.640015
60,1166.634033,1161.689331,1164.081665
61,1162.879272,1160.462036,1161.337402
62,1164.468506,1160.497925,1161.944824
63,1169.057861,1164.241821,1167.507080
64,1169.411011,1164.174316,1167.081787
65,1173.319702,1166.459473,1170.879028
66,1171.273926,1165.426270,1169.229736
67,1162.406006,1154.059448,1159.973877
68,1166.105469,1156.170410,1160.844360
69,1173.187744,1160.945435,1164.904053
70,1178.772339,1167.896484,1173.101685
71,1183.472534,1176.671143,1179.361206
72,1178.184082,1170.169556,1175.818970
73,1167.158569,1155.639282,1159.559082
74,1172.033081,1158.186157,1164.804443
75,1172.816650,1153.716919,1158.494873
