# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
0,1163.326294,1161.014771,1163.452271
1,1171.602783,1172.758301,1172.200684
2,1173.293579,1173.372070,1174.569946
3,1173.559082,1177.240356,1177.175537
4,1171.857788,1173.641846,1174.623535
5,1168.994873,1166.916016,1169.288696
6,1172.732666,1168.487061,1169.915894
7,1168.504150,1162.575928,1166.277466
8,1164.463501,1157.104980,1160.390503
9,1165.659180,1155.396118,1159.666748
10,1171.152100,1158.505249,1162.379272
11,1175.172729,1162.290405,1165.228271
12,1175.177490,1162.641235,1163.401733
13,1165.008423,1149.949097,1152.355957
14,1162.637329,1150.571533,1152.275024
15,1166.404175,1157.802490,1157.516846
16,1163.198975,1158.031860,1156.751831
17,1159.417969,1153.857910,1154.052368
18,1157.501587,1153.415527,1152.507568
19,1159.531860,1154.480835,1152.322510
20,1166.040405,1156.265259,1156.718872
21,1172.097534,1167.627563,1164.247314
22,1174.521606,1169.289307,1167.945557
23,1166.023682,1161.378296,1161.169434
24,1163.305542,1151.594482,1154.479492
25,1167.128052,1159.634155,1163.262451
26,1175.190674,1162.895386,1166.087524
27,1177.751587,1166.976074,1168.511963
28,1176.631104,1168.915527,1169.978760
29,1178.962524,1173.316162,1172.972778
30,1182.413208,1176.564941,1175.242798
31,1185.564209,1177.967163,1181.378540
32,1186.521973,1182.936279,1182.868408
33,1188.087280,1184.698853,1184.739502
34,1187.535156,1190.356689,1186.491211
35,1199.676270,1205.215942,1199.855225
36,1206.213501,1214.485107,1209.071777
37,1207.937012,1213.321167,1209.765869
38,1215.627808,1222.281738,1217.374268
39,1216.129883,1222.158203,1218.241943
40,1230.216064,1235.338501,1229.453735
41,1238.975220,1237.355591,1235.933838
42,1241.632202,1236.893433,1239.538086
43,1240.424927,1238.345703,1240.125000
44,1243.197876,1242.460693,1242.827759
45,1245.655518,1246.554565,1248.984375
46,1248.248047,1253.659058,1251.035278
47,1250.119263,1256.670898,1253.270874
48,1242.750122,1248.634155,1245.257202
49,1238.778076,1244.122437,1241.820190
50,1234.699585,1237.723633,1236.703613
51,1229.152466,1226.684692,1229.281616
52,1225.585327,1222.578125,1228.085571
53,1218.662109,1216.619873,1220.297119
54,1213.510742,1206.897339,1214.348389
55,1222.411377,1219.200195,1225.729370
56,1225.841797,1224.433960,1226.468506
57,1220.065063,1220.927612,1223.765259
58,1213.405640,1209.598999,1210.239014
59,1206.822510,1207.057739,1205.499268
60,1206.530029,1206.803467,1204.615723
61,1205.911621,1201.981934,1202.316650
62,1200.742432,1199.205688,1199.620972
63,1188.573975,1184.804932,1184.938354
64,1181.273193,1175.953857,1177.523804
65,1175.711914,1163.400635,1167.439209
66,1178.972778,1169.974487,1172.897339
67,1179.249146,1172.290405,1174.817383
68,1179.336182,1175.649292,1178.013062
69,1175.294678,1176.346802,1175.747925
70,1181.435059,1191.168091,1188.855591
71,1182.081543,1187.758911,1188.608032
72,1187.395752,1202.920410,1196.124390
73,1181.657715,1194.989868,1189.634644
74,1188.611816,1204.561523,1196.210938
75,1200.378662,1209.981934,1204.283691
76,1207.936035,1209.222534,1207.691895
77,1207.008423,1198.490479,1200.027588
78,1210.404907,1196.742188,1199.128662
79,1209.191284,1197.763916,1199.521240
80,1211.196777,1203.721802,1201.046753
81,1205.419800,1200.402100,1199.854858
82,1195.232422,1186.724609,1188.801147
83,1187.516968,1174.222900,1177.339355
84,1170.226318,1157.701172,1161.374268
85,1162.141846,1150.879639,1153.376099
86,1159.395752,1147.845215,1149.409058
87,1154.683838,1148.535034,1149.268433
88,1154.871948,1149.335693,1151.970337
89,1163.296509,1155.912476,1159.881836
90,1169.947632,1169.962891,1170.422119
91,1186.629639,1185.074463,1185.619019
92,1195.169922,1195.225830,1192.974243
93,1193.949097,1191.664062,1187.696411
94,1190.874512,1188.187744,1183.783081
95,1200.391357,1195.530640,1195.596313
96,1201.783569,1190.653809,1191.864624
97,1195.985107,1187.346924,1188.521484
98,1198.954224,1195.485229,1191.955933
99,1203.040405,1201.900269,1199.327271
100,1202.156738,1193.151245,1193.263916
101,1206.915649,1199.144775,1200.693970
102,1210.286621,1204.530029,1206.438232
103,1199.787964,1195.028687,1195.611938
104,1196.472168,1189.701050,1191.656982
105,1192.379028,1188.127441,1188.564697
106,1189.973755,1187.101074,1187.061768
107,1186.208496,1187.197510,1187.484741
108,1177.895630,1175.915649,1177.614868
109,1183.836670,1182.889771,1185.141235
110,1188.556885,1183.576294,1185.398926
111,1186.794067,1184.800293,1186.218018
112,1186.360840,1184.046143,1186.526123
113,1191.601685,1188.160767,1189.973511
114,1191.974854,1192.177368,1192.683105
115,1193.214233,1192.984009,1192.925659
116,1199.600586,1192.600952,1191.585938
117,1204.124023,1198.881592,1195.902344
118,1199.981812,1192.616699,1191.522949
119,1197.270630,1194.734985,1190.549438
120,1201.684570,1191.087036,1190.945679
121,1200.998535,1186.394043,1186.518188
122,1202.643555,1183.527344,1184.546753
123,1201.485596,1189.471802,1186.886719
124,1195.249512,1186.374634,1184.373413
125,1184.850464,1183.834961,1180.927246
126,1176.077515,1172.046265,1170.621704
127,1170.635132,1159.006958,1160.275146
128,1163.603516,1159.227417,1159.563354
129,1160.986938,1153.890869,1155.061035
